,L-Precision,L-Recall,L-Measure,Expanded L-Precision,Expanded L-Recall,Expanded L-Measure,ref_name,est_name
TRIRKBL149E3657617,0.7676964732037522,0.7464888927224832,0.7569441669755805,0.8350562423417557,0.8320763945132249,0.8335636553241219,Reference,Estimate
TRIRWMQ127FA390C13,0.8713871279082268,0.8526974714771788,0.8619409986145435,0.8751075852187283,0.8709253771256853,0.873011472428125,Reference,Estimate
TRIRXOK149E3D749E1,0.581197044410296,0.6408710568584606,0.6095770991936333,0.7940297467963362,0.7915920084724115,0.7928090037422819,Reference,Estimate
TRIRXWY149E3DD1B4F,0.619968379089079,0.638787657654351,0.6292373377174105,0.8162173313647034,0.7545832144960389,0.784191091926395,Reference,Estimate
TRISCLW149E32DB2A7,0.8661494258900109,0.855980195627578,0.861034785944507,0.866204055591088,0.8463663495157419,0.8561703066690887,Reference,Estimate
TRIVRSN149E3EA0C75,0.5566786494957999,0.639509188895167,0.5952261010999497,0.6433608450362643,0.6517152371492829,0.6475110944644875,Reference,Estimate
TRIXEZU149E30B366A,0.8442923464119048,0.8245008502560653,0.834279237081294,0.8406076759897931,0.8481165510076588,0.8443454194751748,Reference,Estimate
TRIXJVN149E3D79707,0.6269592025054658,0.6723188910820893,0.6488472604325962,0.8043937895889619,0.8006646576227464,0.8025248915439142,Reference,Estimate
TRIXUAK127FA1EC3E6,0.7228361109075888,0.6711499324802476,0.6960348123011145,0.8515465222341975,0.8491807892510104,0.8503620103605047,Reference,Estimate
TRIYMAA149E38CDC1E,0.5313754859541258,0.6323627502842214,0.577487364886659,0.7308985415231668,0.7181878122485036,0.7244874305052715,Reference,Estimate
TRIYVSL149E3E1D830,0.619062416715829,0.7769371219870456,0.6890726809558234,0.8810949362874401,0.791694295478907,0.8340056494715066,Reference,Estimate
TRIZGNY149E3CB6FE0,0.8851537422059231,0.862731632369366,0.8737988703598197,0.8939303825334208,0.894560686357632,0.8942454233790197,Reference,Estimate
TRIZJBB127FA1E8001,0.6589013186330063,0.6304974577068577,0.6443865372000397,0.6860731312205864,0.6512824369559715,0.6682252520780134,Reference,Estimate
TRJATCP149E38F6EC8,0.5341771596806224,0.4120611936412715,0.4652393918744963,0.5983704620658076,0.6486224315377469,0.6224839067749808,Reference,Estimate
TRJBNYP149E3763883,0.5220899336025693,0.6625375459110836,0.5839881132859374,0.7193030240740662,0.6856450023389684,0.7020708444038918,Reference,Estimate
TRJEFSL149E340AE3A,0.6091960270402276,0.5866640929591133,0.5977177910039304,0.7952883504489228,0.8460647973831267,0.8198911708579847,Reference,Estimate
TRJFCXI149E339F3C6,0.8577137746819009,0.8159986895406593,0.8363363852542068,0.8574453507290549,0.8463552523272025,0.8518642086067088,Reference,Estimate
TRJFNZN149E3593A26,0.3327052954141114,0.46444886283975817,0.3876906229889814,0.4907526043003484,0.48821217417985846,0.4894790930105868,Reference,Estimate
TRJFOEJ149E3D1F5FE,0.6513153591276011,0.5785760931033503,0.6127947229468022,0.5404564993044207,0.6295480785384661,0.5816102895905305,Reference,Estimate
TRJGCLJ149E38E44EF,0.7120117635282676,0.7535420890036651,0.7321884907297653,0.7905741386913466,0.7786700733942119,0.7845769547624665,Reference,Estimate
TRJGRAC149E3A0A32B,0.7213009339691847,0.7824582357110269,0.7506359629783891,0.784598568808474,0.7914369074058721,0.7880029025036989,Reference,Estimate
TRJGRVH120C9841D79,0.6766321938252613,0.5930317391816764,0.6320796492032278,0.675378424445074,0.6964602997704974,0.685757373143853,Reference,Estimate
TRJGZXP149E31617D1,0.39679586176336135,0.36090799442379207,0.37800203204800054,0.5867295665465697,0.4099096090492907,0.48263422335766176,Reference,Estimate
TRJHHAB149E366A3FE,0.9285240720326635,0.911431684782027,0.919898487992428,0.9285240720326635,0.911431684782027,0.919898487992428,Reference,Estimate
TRJJRFM149E315D74F,0.6042655048589587,0.6920617710177811,0.6451905521694935,0.7824027591888102,0.7601000210885305,0.7710901547317947,Reference,Estimate
TRJJUQS149E3EA9ED0,0.8471591156959603,0.859401497447076,0.8532363948845303,0.9082722408093381,0.8970936300128832,0.902648327096708,Reference,Estimate
TRJJVZL149E3829FA4,0.5810663080417248,0.6406950169649303,0.6094255571341062,0.698421721060067,0.7034890086161374,0.7009462068358726,Reference,Estimate
