,Expanded L-Measure,Expanded L-Precision,Expanded L-Recall,L-Measure,L-Precision,L-Recall,est_name,ref_name
CD1_-_11_-_Black_Bird,0.9748830314862312,0.9728111296871632,0.9769637776318377,0.9420451855554078,0.9187184720583819,0.9665873124340504,Isophonics,TUT
CD1_-_17_-_Julia,0.8547001347523158,0.8561663110546214,0.8532389714899338,0.8326492471669419,0.8243877725794483,0.8410779800881706,Isophonics,TUT
CD1_-_03_-_Glass_Onion,0.7436077736087927,0.7452769194576772,0.7419460875966869,0.7237999284854042,0.7230714123541274,0.7245299141009283,Isophonics,TUT
CD1_-_01_-_Back_in_the_USSR,0.9802742767853178,0.9854687596912635,0.975134267794422,0.8994646904839766,0.8568493779819634,0.9465407961083553,Isophonics,TUT
CD1_-_02_-_Dear_Prudence,0.9669045180484636,0.9664761213686722,0.9673332946757678,0.9670693989691096,0.9667512234190464,0.9673877840229371,Isophonics,TUT
CD1_-_12_-_Piggies,0.9965059913254306,0.9964259547491339,0.9965860407604212,0.9965812074327461,0.9966337897213874,0.9965286306922837,Isophonics,TUT
CD1_-_09_-_Martha_My_Dear,0.9575600799869537,0.9535327627353596,0.961621560885154,0.80160049399575,0.8045987225769794,0.7986245274466205,Isophonics,TUT
05_-_Think_For_Yourself,0.9809901702185821,0.9927017933888723,0.9695516658956144,0.9809535034610192,0.9926902954804244,0.969491001708416,Isophonics,TUT
12_-_Wait,0.9199081687642238,0.9194625209762444,0.9203542487574363,0.7806759164240026,0.8246404583135969,0.741161915213105,Isophonics,TUT
09_-_Girl,0.873432723373965,0.841844746840194,0.9074836235094007,0.9071407513940731,0.9059782715043666,0.9083062183215976,Isophonics,TUT
02_-_Norwegian_Wood_(This_Bird_Has_Flown),0.8939021212573375,0.8435957833940445,0.9505887977056793,0.988601663001917,0.9888404608129778,0.9883629804988945,Isophonics,TUT
08_-_What_Goes_On,0.9774139106529073,0.992683100752615,0.9626073380171749,0.9773613911636562,0.9926713897596166,0.9625164726965872,Isophonics,TUT
14_-_Run_For_Your_Life,0.5543166290122722,0.5223891280941626,0.5904008886180905,0.5349635718787767,0.5558455773045815,0.5155937471207974,Isophonics,TUT
13_-_If_I_Needed_Someone,0.9382434320656247,0.9608607872660131,0.9166663536831384,0.8250126338429187,0.8194241747944392,0.8306778427167802,Isophonics,TUT
01_-_Drive_My_Car,0.9576575647053438,0.9734229987112443,0.9423946616655842,0.9572144850873511,0.9734419391446432,0.9415191890759486,Isophonics,TUT
04_-_Nowhere_Man,0.950475141913088,0.9556879789766614,0.9453188635906411,0.9478105629749224,0.9519506668812975,0.9437063143678125,Isophonics,TUT
06_-_The_Word,0.8192020393232975,0.8068839500300687,0.8319020612701523,0.8602954913316609,0.8627024570924509,0.857901919215699,Isophonics,TUT
03_-_You_Won't_See_Me,0.9759096806320012,0.9922434901359404,0.9601049199833283,0.9755275897383228,0.9922328443680224,0.9593755217362674,Isophonics,TUT
10_-_I'm_Looking_Through_You,0.8353327261066475,0.7966893491317772,0.8779159975968146,0.6231599539966552,0.6059925286137038,0.6413284253359087,Isophonics,TUT
07_-_Michelle,0.7857309491672441,0.7220271208405271,0.8617636067777728,0.9034792631401277,0.9281436730471511,0.8800917800916078,Isophonics,TUT
11_-_In_My_Life,0.9471937483969984,0.9472415067446903,0.9471459948648571,0.9285213148552103,0.9437496043544817,0.9137766669551037,Isophonics,TUT
11_-_All_You_Need_Is_Love,0.8636806842364219,0.8989385603976717,0.8310841708951398,0.8571134161577256,0.8852263569180119,0.8307311300187841,Isophonics,TUT
